"","Time","Treat"
"OTU30",3.36480468567374e-07,0.502012039519954
"OTU738",0.143171987844183,0.56903508091279
"OTU736",1.19296247603324e-05,0.245213037604472
"OTU128",2.64000394385856e-07,0.493431160647626
"OTU25",0.105919936473946,0.57283821427914
"OTU861",0.506442612168663,0.601422263966875
"OTU1243",0.128231707982024,0.276291034986632
"OTU1026",1.18404024191654e-06,0.868836264337596
"OTU46",1.4166744400069e-06,0.655506540207631
"OTU729",2.08538018362494e-07,0.349363041215657
"OTU234",1.20221519761988e-06,0.165350093334478
"OTU730",1.25891410305732e-05,0.25526204638449
"OTU85",7.27363040009254e-07,0.368144400162443
"OTU48",0.105347584664699,0.620700865488843
"OTU19",0.00235318001979679,0.584384395765632
"OTU1041",3.53467964877084e-06,0.811686227985507
"OTU718",0.453183941993872,0.149351286825631
"OTU1069",2.37188328458334e-07,0.55712043540438
"OTU444",0.916879301077334,0.654370723663105
"OTU84",9.17005030433563e-06,0.829312098797065
"OTU714",0.00012669696220742,0.149687906016278
"OTU325",2.90188043485017e-07,0.386943885954064
"OTU51",0.0896322969033308,0.226825536193186
"OTU734",8.17255010515146e-06,0.230942766445904
"OTU728",1.03479671737862e-05,0.193627207074967
"OTU731",1.28039677338911e-05,0.25353808113445
"OTU401",1.48956192366884e-05,0.21708812044084
"OTU724",0.114203336244368,0.236991330793571
"OTU125",2.80291749259115e-06,0.762527182975561
"OTU1021",5.39076652413581e-05,0.532960395070289
"OTU752",8.18740488735625e-06,0.217004590397978
"OTU862",0.00728218184522173,0.30510694348319
"OTU533",0.0283483982462743,0.652380102732736
"OTU789",0.755630036613506,0.533540025972139
"OTU743",8.03010591459087e-06,0.256054808795264
"OTU86",1.95924587470327e-06,0.973898116427067
"OTU692",0.0244876604665195,0.15322244555587
"OTU885",2.46963746956258e-07,0.502163928271432
"OTU122",6.14048766095537e-07,0.173150466822543
"OTU34",2.67286862960351e-06,0.884892235495849
"OTU769",0.423336007218398,0.906687750292142
"OTU89",1.43983266962607e-05,0.221807518763226
"OTU889",7.82086819464221e-07,0.822463201531071
"OTU261",3.77301627434727e-06,0.876109907370801
"OTU29",0.0228427640239823,0.794642060639294
"OTU774",0.000232914464521933,0.237775191499653
"OTU37",4.7134844293706e-05,0.844643381971412
"OTU999",1.56444681743034e-07,0.412416718481076
"OTU810",8.90309125880543e-07,0.368439837305423
"OTU707",0.294849810489373,0.369033111646658
"OTU1001",1.11800280805943e-06,0.936274570070005
"OTU795",8.65315198486885e-06,0.987279697521773
"OTU427",8.56608233808735e-07,0.692048697674997
