"","Time","Treat"
"OTU317",1.94494271870214e-15,0.547930932928918
"OTU57",6.14893542176382e-17,0.699060244837957
"OTU30",2.16303528279682e-19,0.764349397564608
"OTU738",0.0612665255698509,0.316372492237236
"OTU736",7.61229751674245e-10,0.0160880899869037
"OTU128",1.94298564403261e-19,0.694129939578868
"OTU322",3.21591825603735e-17,0.604805434289694
"OTU25",0.13494064875387,0.312822958914111
"OTU861",0.817450792670387,0.557254734093203
"OTU1243",6.88092085920934e-05,0.237511018086871
"OTU1026",1.82466297646648e-17,0.550699903402468
"OTU1111",2.46517196593685e-08,0.456472542649557
"OTU46",4.84085075638313e-18,0.959786484164931
"OTU729",1.77303090447384e-19,0.92315925604233
"OTU384",5.58619530418658e-12,0.161970512167811
"OTU1028",1.58593481461357e-16,0.293864236351271
"OTU234",7.47742785658353e-14,0.395985143719445
"OTU730",1.57014460789616e-10,0.0277093870161613
"OTU85",2.34641992710953e-19,0.458398132633106
"OTU48",0.70701869921477,0.969940883686147
"OTU19",0.292525440345668,0.1030204308668
"OTU1041",3.75545182001644e-17,0.274390874766397
"OTU525",2.45620989357365e-13,0.392943154913951
"OTU718",0.00144192147808874,0.292995586866099
"OTU1069",4.55687006010631e-18,0.445664590669292
"OTU870",3.59156822261346e-18,0.913881431454099
"OTU288",2.59855803683673e-16,0.519947968490697
"OTU444",0.553178847919371,0.261474427618925
"OTU84",2.9105101864624e-15,0.407820836465883
"OTU714",0.112641859202285,0.487295240274509
"OTU108",1.44719088827667e-10,0.0457739756769557
"OTU325",3.33059786441252e-20,0.563959153808539
"OTU51",1.52697896942351e-06,0.313919784135669
"OTU1105",0.827823359306276,0.458971886336607
"OTU734",3.06023736855463e-11,0.0180587134013513
"OTU728",7.99545386815786e-10,0.0169572600897044
"OTU731",1.11552157575329e-07,0.0138432579789242
"OTU78",2.08966133165647e-11,0.437416361520565
"OTU228",2.58221510348555e-12,0.221229765351153
"OTU401",1.8211347653126e-09,0.0151733252523956
"OTU724",0.451153255254961,0.302153654042304
"OTU1184",0.0567629285132213,0.441353488812837
"OTU1113",4.11081230811309e-18,0.737248980998838
"OTU125",2.22957382725366e-17,0.462863021996924
"OTU1021",2.50216204145519e-13,0.294632703560441
"OTU274",1.47853637695394e-15,0.732962723071786
"OTU802",5.46197719540729e-15,0.485248201479963
"OTU752",5.03967126125353e-12,0.0213798976205367
"OTU862",1.79195931887431e-08,0.292170566954085
"OTU533",1.76318450585485e-15,0.421898839572144
"OTU789",0.00209122785677749,0.665724346485898
"OTU743",6.91115056429911e-12,0.0250622688667691
"OTU86",4.82400072088237e-16,0.376431747328767
"OTU692",0.792805927416778,0.337588342040991
"OTU885",7.12524260285524e-21,0.714024908519381
"OTU122",7.27072094875855e-15,0.345337798154262
"OTU698",0.130851922183159,0.36190300897836
"OTU34",2.96816594025267e-15,0.357400780825598
"OTU769",0.139883808236547,0.46864407343016
"OTU89",3.05239598933654e-09,0.0139674839386854
"OTU889",8.5237030648482e-19,0.910509445750238
"OTU261",2.05332595217098e-16,0.596867441142885
"OTU29",9.58093145789321e-09,0.607821674719642
"OTU82",4.28800404578951e-18,0.503690082684447
"OTU774",3.3307412507061e-07,0.0535616808717949
"OTU37",5.18675393050201e-13,0.202512742615872
"OTU999",1.4001036602617e-20,0.681141458355515
"OTU810",1.36185785919726e-19,0.8070475561756
"OTU707",0.0633119623939224,0.347784764942219
"OTU1001",1.9774683726302e-17,0.571453863395857
"OTU795",3.29598092236026e-15,0.451423722662742
"OTU427",5.7237095251219e-17,0.403967219545268
"OTU869",0.146027999322035,0.470070130642215
