"","Time","Treat"
"OTU317",1.1181056081e-12,0.369734163200309
"OTU57",2.22044604925031e-16,0.234425860782383
"OTU30",6.99440505513849e-14,0.969337821305784
"OTU738",0.0548978153137075,0.881340847615959
"OTU736",5.51619283584159e-09,0.0109224178299593
"OTU128",2.22044604925031e-15,0.552052610602233
"OTU322",2.03170813506404e-14,0.382501391952956
"OTU25",0.642560200206693,0.865157964550539
"OTU861",8.21010836781211e-05,0.80181389679843
"OTU1243",0.161184920973059,0.729418191386701
"OTU1026",2.53130849614536e-14,0.327306310852096
"OTU1111",2.21843801107013e-08,0.216583728219015
"OTU46",2.44249065417534e-15,0.606499999654632
"OTU729",2.55351295663786e-15,0.434613421614128
"OTU384",3.61932706027801e-13,0.223205010078704
"OTU1028",9.67004254448511e-14,0.574909555427136
"OTU234",2.68573363548796e-09,0.189472719617918
"OTU730",3.881696289465e-05,1
"OTU85",2.55351295663786e-15,0.399095173268877
"OTU48",0.0351046264541779,0.717429016036825
"OTU19",0.5150805324255,0.575558070739324
"OTU1041",9.99200722162641e-16,0.479535817501375
"OTU525",3.03430058856691e-10,0.73815133896008
"OTU718",4.50749483905666e-05,0.206392683195657
"OTU1069",5.25801624462474e-13,0.543818858379963
"OTU870",1.11022302462516e-16,0.402473855490451
"OTU288",1.48547840694846e-13,0.596056565755336
"OTU444",0.00173815701909341,0.256210738611782
"OTU84",1.59539048638635e-13,0.3667664989785
"OTU714",0.00132340512118834,0.677193799847676
"OTU325",5.73985303731206e-14,0.597288178731831
"OTU51",0.00867623322178657,0.123167582646892
"OTU1105",7.61358325274131e-08,0.362476163815419
"OTU734",2.63408184153491e-11,0.000349941633052797
"OTU728",5.52227641170688e-07,0.00317684855719325
"OTU731",5.92284892575456e-07,0.00218968564976885
"OTU78",1.11022302462516e-16,0.686150496757771
"OTU228",5.55111512312578e-15,0.191629466920973
"OTU401",4.02958683087817e-08,0.00140263335077473
"OTU724",0.332050610640619,0.908658367511854
"OTU1184",3.66120763812816e-05,0.747211668916558
"OTU1113",7.88258347483861e-15,0.867398636393167
"OTU125",5.88418203051333e-15,0.619153351091746
"OTU1021",1.19904086659517e-14,0.641866028426125
"OTU274",1.60982338570648e-14,0.45090909876062
"OTU802",6.43929354282591e-15,0.323103177944525
"OTU752",2.83734630235344e-08,0.00345437924586189
"OTU862",1.13250667286291e-05,0.0847457277566672
"OTU533",1.19115828312033e-12,0.431955067635175
"OTU789",0.0928714649383288,0.780825866941511
"OTU743",1.8454226813347e-08,0.000618649791363834
"OTU86",3.16080495110782e-12,0.73705174472022
"OTU692",0.0194709613038143,0.208195489525325
"OTU885",0,0.888239965623631
"OTU122",6.52543352686052e-10,0.0696986089708499
"OTU698",3.77540863905068e-07,0.411133987008649
"OTU34",4.47752945831326e-13,0.476505392560971
"OTU769",0.0967355780974511,0.65235768151623
"OTU89",1.32510663515273e-05,0.00122913870433217
"OTU889",1.22124532708767e-15,0.981407419100655
"OTU261",1.78856929267113e-13,0.0035810306449986
"OTU29",1.83263705578751e-05,0.411045281335954
"OTU82",3.44169137633799e-15,0.196640358171732
"OTU774",4.26359059169101e-09,0.00814884799908555
"OTU37",2.05724326463042e-12,0.531944723872288
"OTU999",1.11022302462516e-15,0.670299616102266
"OTU810",1.11022302462516e-15,0.735550091077503
"OTU707",0.129508885184737,0.410278803308596
"OTU1001",2.36477504245158e-14,0.860983929797238
"OTU795",4.88498130835069e-15,0.452198058600625
"OTU427",1.68531855138099e-12,0.0654404679168099
"OTU869",0.360543083726364,0.53495969019186
