"","Time","Treat"
"OTU317",6.18394224716212e-14,0.523770045695814
"OTU57",0,0.952386869870172
"OTU30",7.7715611723761e-16,0.867789620237814
"OTU738",0.101021021621588,0.281609457035207
"OTU736",2.51256826455659e-09,0.00855420836546883
"OTU128",0,0.505243315043433
"OTU322",1.11022302462516e-16,0.965021909298117
"OTU25",0.347104363559845,0.797945040841784
"OTU861",0.000979922465853211,0.568401726224853
"OTU1243",0.0904449962395936,0.455089006640496
"OTU1026",2.22044604925031e-16,0.460236864556895
"OTU1111",3.82472509219411e-09,0.0906022746469886
"OTU46",0,0.875381289201285
"OTU729",0,0.99348362137973
"OTU384",3.54161144855425e-14,0.429961653005804
"OTU1028",2.66453525910038e-15,0.81582283248098
"OTU234",9.58980672649545e-11,0.433596300449537
"OTU730",2.50651992494966e-08,0.0436766974757055
"OTU85",0,0.415768186205986
"OTU48",0.0118989578508476,0.809325682379079
"OTU19",0.284639671287253,0.231263716790085
"OTU1041",0,0.6730420005871
"OTU525",8.88178419700125e-16,0.391883393961428
"OTU718",2.91072605378417e-05,0.500242930615239
"OTU1069",6.10622663543836e-15,0.80105135618973
"OTU870",0,0.75697770502001
"OTU288",2.22044604925031e-16,0.865608524298755
"OTU444",0.00699952509843516,0.713204056542759
"OTU84",3.21964677141295e-15,0.0759824514214186
"OTU714",0.000373933453471365,0.971401028939948
"OTU108",7.56962270642703e-11,0.0568481016215286
"OTU325",1.11022302462516e-15,0.177633763263724
"OTU51",0.0059180391978727,0.0152779205028561
"OTU1105",2.84146918216877e-08,0.653276523450451
"OTU734",4.21412904572094e-11,0.00492034604368463
"OTU728",2.64210350264804e-08,0.0177001198553168
"OTU731",9.44443089290203e-08,0.00221043576306568
"OTU78",1.11022302462516e-16,0.656576578469445
"OTU228",1.93178806284777e-14,0.271577801484296
"OTU401",1.39670345622456e-07,0.00896604991450312
"OTU724",0.147412672330883,0.57368822929296
"OTU1184",1.03519726578627e-05,0.762800331630315
"OTU1113",0,0.655130936495597
"OTU125",2.22044604925031e-16,0.967242782694859
"OTU1021",3.33066907387547e-16,0.730449041359897
"OTU274",1.11022302462516e-16,0.911513714837366
"OTU802",2.33146835171283e-15,0.505125875323221
"OTU752",2.13524994352454e-08,0.0561601347328281
"OTU862",1.93190708229762e-05,0.270590204528566
"OTU533",2.02060590481778e-14,0.199399610817344
"OTU789",0.0920204824721986,0.229915959298003
"OTU743",9.08361252882628e-09,0.0201998212910023
"OTU86",3.70814490224802e-14,0.624135310295738
"OTU692",0.0097333775384959,0.320282162205262
"OTU885",0,0.848656333841814
"OTU122",1.83022486055506e-11,0.287747297259192
"OTU698",1.25023395913804e-06,0.165089528550219
"OTU34",1.0547118733939e-14,0.409915606876491
"OTU769",0.0112056867914566,0.89516213274954
"OTU89",2.84938603641871e-05,0.0200245764632193
"OTU889",0,0.837912784985968
"OTU261",1.11022302462516e-15,0.996016056227097
"OTU29",7.9394551887324e-05,0.773041535839598
"OTU82",0,0.594854325761325
"OTU774",3.21744021425374e-08,0.0191260857487819
"OTU37",4.33764135721049e-13,0.612729941387798
"OTU999",0,0.969131536001429
"OTU810",0,0.919401612759126
"OTU707",0.0380984151867173,0.902519993018464
"OTU1001",1.11022302462516e-16,0.498252350816274
"OTU795",3.33066907387547e-16,0.371144111721947
"OTU427",1.63202784619898e-14,0.844656897829457
"OTU869",0.47427030185706,0.548024154173827
