"OTU317","OTU57","OTU30","OTU738","OTU736","OTU128","OTU322","OTU25","OTU861","OTU1243","OTU1026","OTU1111","OTU46","OTU729","OTU384","OTU1028","OTU234","OTU730","OTU85","OTU48","OTU19","OTU1041","OTU525","OTU718","OTU1069","OTU870","OTU288","OTU444","OTU84","OTU714","OTU108","OTU325","OTU51","OTU1105","OTU734","OTU728","OTU731","OTU78","OTU228","OTU401","OTU724","OTU1184","OTU1113","OTU125","OTU1021","OTU274","OTU802","OTU752","OTU862","OTU533","OTU789","OTU743","OTU86","OTU692","OTU885","OTU122","OTU698","OTU34","OTU769","OTU89","OTU889","OTU261","OTU29","OTU82","OTU774","OTU37","OTU999","OTU810","OTU707","OTU1001","OTU795","OTU427","OTU869"
"control1-early disease",0,0,0.000321497463742231,0,0,0,0,0.00339358433950132,7.14438808316068e-05,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0,0,7.14438808316068e-05,3.57219404158034e-05,0,0,3.57219404158034e-05,0,0,0,7.14438808316068e-05,0,3.57219404158034e-05,0,0,3.57219404158034e-05,0,0.00010716582124741,0.000321497463742231,0,0,3.57219404158034e-05,0,0,0,0.00010716582124741,3.57219404158034e-05,0,3.57219404158034e-05,3.57219404158034e-05,0,0,0,7.14438808316068e-05,0.0980567264413803,0,3.57219404158034e-05,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0,0,0,0.000142887761663214,0,0,0.896370650853754,0,0,0,3.57219404158034e-05,0,7.14438808316068e-05,0,0,7.14438808316068e-05,0
"control1-early post partum",0.00150032149746374,0.0010180753018504,0.177716653568622,0.000321497463742231,0.0107701650353647,0.00428663284989641,0.000732299778523969,0.000446524255197542,0.00142887761663214,0.0010180753018504,0.00919839965706937,0.00182181896120597,0.00955561906122741,0.00810888047438737,0.000178609702079017,0.00126812888476102,0.0229692076873616,0.0116810745159677,0.00196470672286919,0.00275058941201686,0.000142887761663214,0.00169679216975066,0.000607272987068658,0.00325069657783811,0.0427770236479246,0.00142887761663214,0.00146459955704794,0.000142887761663214,0.000964492391226691,0.00728727584482389,0.000303636493534329,0.0551189540615846,0.000357219404158034,0.00117882403372151,0.00721583196399228,0.0127884546688576,0.0109487747374437,0.00010716582124741,0.000267914553118525,0.125848396084875,0.00232192612702722,7.14438808316068e-05,0.00151818246767164,0.00262556262056155,0.000250053582910624,0.000732299778523969,0.00083946559977138,0.0241123097806673,0.00834107308709009,0.00182181896120597,0.0582089019075516,0.0267914553118525,0.0140744445238265,0.000196470672286919,0.00837679502750589,0.0083946559977138,0.00010716582124741,0.00930556547831678,0.00571551046652854,0.11704293777238,0.0145924126598557,0.00167893119954276,0.0736586411373866,0.000750160748731871,0.00146459955704794,0.0021254554547403,0.0224512395513324,0.00509037650925198,0.000785882689147674,0.00837679502750589,0.00464385225405444,0.00603700793027077,0.000178609702079017
"control1-early pre-onset",0.000714438808316068,0.000517968136029149,0.0890369364863899,0.000125026791455312,0.00605486890047867,0.00189326284203758,0.000553690076444952,0.000267914553118525,0.49489176252054,3.57219404158034e-05,0.00539401300278631,0.00196470672286919,0.0053225691219547,0.00366149889261985,0.00021433164249482,0.000553690076444952,0.0151639637065085,0.00685861255983425,0.00116096306351361,0.000982353361434593,5.35829106237051e-05,0.00100021433164249,0.000232192612702722,0.000678716867900264,0.022165464028006,0.000768021718939773,0.000625133957276559,0.00275058941201686,0.000642994927484461,0.00434021576052011,0.000178609702079017,0.0271486747160106,5.35829106237051e-05,0.00094663142101879,0.00380438665428306,0.00650139315567622,0.0073944416660713,8.93048510395085e-05,0.000160748731871115,0.0688183182110452,0.00148246052725584,8.93048510395085e-05,0.000607272987068658,0.00151818246767164,0.000428663284989641,0.000392941344573837,0.000482246195613346,0.0111809673501465,0.00175037508037437,0.000750160748731871,0.0262734871758234,0.0149853540044295,0.00785882689147674,0.000660855897692363,0.00382224762449096,0.00625133957276559,0.000160748731871115,0.00487604486675716,0.00241123097806673,0.0616739301278845,0.00748374651711081,0.000910909480602986,0.0157176537829535,0.000464385225405444,0.00303636493534329,0.000910909480602986,0.0111988283203544,0.00328641851825391,0.000125026791455312,0.00466171322426234,0.00294706008430378,0.00292919911409588,0
"control1-late pre-onset",0,0,5.35829106237051e-05,0,0,0,0,7.14438808316068e-05,0.366739301278845,0,0,0,0,1.78609702079017e-05,0,0,1.78609702079017e-05,0,0,7.14438808316068e-05,0,0,1.78609702079017e-05,0,0,0,0,0.013985139672787,0,0,0,1.78609702079017e-05,0.00021433164249482,0,0,0,0,0,0,5.35829106237051e-05,1.78609702079017e-05,1.78609702079017e-05,0,0,0,0,0,7.14438808316068e-05,0.0568157462313353,0,3.57219404158034e-05,0,0,0,0,0,0,0,1.78609702079017e-05,1.78609702079017e-05,0,0,0.559887833107094,0,0,0,0,0,3.57219404158034e-05,0,0,0,1.78609702079017e-05
"control10-early disease",0,0,0.000714438808316068,0,0,0,0,0.000321497463742231,3.57219404158034e-05,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0,0,0,0,0,0.00307208687575909,0.00228620418661142,0,0,0.193898692576981,0.000285775523326427,0,0,0,0,0.115203257840966,0,0.000178609702079017,0.00328641851825391,0.000250053582910624,0,0,0,0,0,0,0.00864470958062442,0,0,3.57219404158034e-05,0,0,0,0,0.0114667428734729,0,3.57219404158034e-05,0,3.57219404158034e-05,0.00275058941201686,0,0,0,7.14438808316068e-05,0,0,3.57219404158034e-05,0,0.316496392084018,3.57219404158034e-05,0,0,0.00010716582124741,0,0.153175680502965,3.57219404158034e-05,3.57219404158034e-05,7.14438808316068e-05,0
"control10-early post partum",0.00139315567621633,0.00125026791455312,0.143637922411945,0,0,0.00357219404158034,0.000857326569979281,3.57219404158034e-05,3.57219404158034e-05,0,0.0163963706508538,0,0.0102879188397514,0.00367935986282775,0.00157176537829535,0.00350075016074873,0.000392941344573837,0,0.000571551046652854,0.0132885618346789,0,0.00278631135243266,0.00282203329284847,0.00010716582124741,0.0150032149746374,0.00153604343787955,0.00117882403372151,0,0.00271486747160106,0.00100021433164249,3.57219404158034e-05,0.0186111309566336,0.00010716582124741,0.0010359362720583,3.57219404158034e-05,0,0,0.00114310209330571,0.00121454597413732,0.000178609702079017,0.582303350718011,0,0.000928770450810888,0.0042509109094806,0.00242909194827463,0.00128598985496892,0.00189326284203758,0.00010716582124741,3.57219404158034e-05,0.00378652568407516,0.00178609702079017,0.00010716582124741,0.0322569121954705,0,0.00446524255197542,0.000428663284989641,3.57219404158034e-05,0.02579124098021,0,0,0.010359362720583,0.00235764806744302,0.00175037508037437,0.000750160748731871,0,0.00800171465313996,0.010716582124741,0.00232192612702722,0.000142887761663214,0.0136815031792527,0.0118239622776309,0.00921626062727727,0
"control10-early pre-onset",0,7.14438808316068e-05,0.00250053582910624,0,0,3.57219404158034e-05,0,0.210187897406587,0.00185754090162178,0,0.000500107165821247,0,0.000357219404158034,0.000142887761663214,7.14438808316068e-05,3.57219404158034e-05,3.57219404158034e-05,0,0,0.0183967993141387,0.012538401085947,3.57219404158034e-05,0,3.57219404158034e-05,0.000285775523326427,3.57219404158034e-05,0,0.000714438808316068,0.000142887761663214,7.14438808316068e-05,0,0.000607272987068658,0,3.57219404158034e-05,0,0,0,3.57219404158034e-05,3.57219404158034e-05,0,0.730192184039437,0.000142887761663214,7.14438808316068e-05,7.14438808316068e-05,3.57219404158034e-05,0,0,0,7.14438808316068e-05,3.57219404158034e-05,3.57219404158034e-05,0,0.00117882403372151,0.00178609702079017,0.000285775523326427,0,0,0.000750160748731871,0,0,0.000321497463742231,0.000142887761663214,7.14438808316068e-05,0,0,0.000250053582910624,0.00010716582124741,7.14438808316068e-05,0,0.00021433164249482,0.00021433164249482,0.000357219404158034,0
"control10-late pre-onset",0,0,0.000642994927484461,0,0,0,0,0.00132171179538473,0.000178609702079017,0,3.57219404158034e-05,0,0,3.57219404158034e-05,3.57219404158034e-05,0,0,0,0,0.00778738301064514,0.00200042866328499,3.57219404158034e-05,0,0.260055726227049,3.57219404158034e-05,0,0,0.000142887761663214,0,0.0705151103807959,0,7.14438808316068e-05,0.00771593912981353,0.00492962777738087,0,0,0,0,0,0,0.349717796670715,3.57219404158034e-05,0,0,0,0,0,0,0.00150032149746374,0,7.14438808316068e-05,0,7.14438808316068e-05,0.00803743659355576,3.57219404158034e-05,0,0,0.000321497463742231,0,0,0,0,0.246981496034865,0,0,7.14438808316068e-05,3.57219404158034e-05,3.57219404158034e-05,0.00239337000785883,7.14438808316068e-05,0,0.000142887761663214,3.57219404158034e-05
"control11-early disease",0.00010716582124741,0,0.000321497463742231,0,0,0,0,0.00250053582910624,0,7.14438808316068e-05,3.57219404158034e-05,0,3.57219404158034e-05,0,0,0,0,0,0,0.0120025719797099,0.000750160748731871,0,0,0.000321497463742231,0,0,0,0,0,0,0,7.14438808316068e-05,0.00342930627991713,0,0,0,0,0,0,0,0.031256697863828,0,3.57219404158034e-05,3.57219404158034e-05,0,0,0,0,0.0362577695220404,0,0.000250053582910624,0,0.000142887761663214,0.0010716582124741,0,0,0,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0.480067157247982,0,0,0,0,0,0.42909194827463,7.14438808316068e-05,0,0,0
"control11-early post partum",0.00378652568407516,0.00267914553118525,0.259698506822891,0,0,0.00539401300278631,0.00128598985496892,0.240658712581267,0.000178609702079017,0,0.0344716725012503,0,0.0178609702079017,0.00653711509609202,0.00300064299492748,0.00364363792241195,0.000642994927484461,0,0.000500107165821247,0.000392941344573837,0,0.00482246195613346,0.00335786239908552,3.57219404158034e-05,0.0286847181538901,0.00289347717368007,0.00146459955704794,0,0.00592984210902336,0.00114310209330571,0.000142887761663214,0.03779381295992,0.000142887761663214,0.000857326569979281,3.57219404158034e-05,7.14438808316068e-05,0,0.00117882403372151,0.00221476030577981,0.000285775523326427,0.000607272987068658,0,0.00217903836536401,0.00782310495106094,0.00389369150532257,0.0021433164249482,0.00335786239908552,3.57219404158034e-05,3.57219404158034e-05,0.00646567121526041,0.00228620418661142,0.000285775523326427,0.0644781024505251,7.14438808316068e-05,0.0120382939201257,0.000642994927484461,3.57219404158034e-05,0.0484746731442452,0,3.57219404158034e-05,0.0213974423090662,0.00664428091733943,0.00221476030577981,0.00192898478245338,0,0.0151103807958848,0.0182896334928913,0.00353647210116454,0.000357219404158034,0.0290062156176323,0.0226119882832035,0.0150389369150532,0
