"OTU30","OTU738","OTU736","OTU128","OTU25","OTU861","OTU1243","OTU1026","OTU46","OTU729","OTU234","OTU730","OTU85","OTU48","OTU19","OTU1041","OTU718","OTU1069","OTU444","OTU84","OTU714","OTU325","OTU51","OTU734","OTU728","OTU731","OTU401","OTU724","OTU125","OTU1021","OTU752","OTU862","OTU533","OTU789","OTU743","OTU86","OTU692","OTU885","OTU122","OTU34","OTU769","OTU89","OTU889","OTU261","OTU29","OTU774","OTU37","OTU999","OTU810","OTU707","OTU1001","OTU795","OTU427"
"LOS1-early post partum",0.179020504393799,0.00135743373580053,0.00998428234621705,0.00464385225405444,0.0113059941416018,0.00278631135243266,3.57219404158034e-05,0.010359362720583,0.00798385368293206,0.00862684861041652,0.0312031149532043,0.0127348717582339,0.00258984068014575,0.000982353361434593,0.00130385082517682,0.00162534828891905,3.57219404158034e-05,0.0494034435950561,0.000285775523326427,0.000857326569979281,0.00682289061941845,0.0549224833892977,0.000142887761663214,0.00755519039794242,0.0132528398942631,0.0105201114524541,0.117167964563835,0.0199149817818104,0.00273272844180896,0.000339358433950132,0.0234514538829749,0.0144138029577767,0.0020897335143245,0.0084303779381296,0.0319354147317282,0.0130027863113524,0.00135743373580053,0.00778738301064514,0.0129849253411445,0.00716224905336858,0.000142887761663214,0.119186254197328,0.012181181681789,0.00180395799099807,0.0757305136815032,0.00916267771665357,0.00244695291848253,0.0226655711938272,0.00567978852611274,0.000125026791455312,0.00907337286561406,0.00459026934343074,0.00601914696006287
"LOS1-early pre-onset",0.195220404372366,0,0.0119668500392941,0.00514395941987569,0.000178609702079017,0.0052511252411231,0,0.0123955133242838,0.0109309137672358,0.00700150032149746,0.0387940272915625,0.0142887761663214,0.00296492105451168,0.000785882689147674,0,0.00192898478245338,0,0.0489390583696506,0.000142887761663214,0.00114310209330571,0.0062870615131814,0.0602986354218761,0.000142887761663214,0.00907337286561406,0.0156104879617061,0.0120740158605415,0.148996213474316,0.000750160748731871,0.00382224762449096,0.000428663284989641,0.0293277130813746,0.000785882689147674,0.00278631135243266,0.00117882403372151,0.0315781953275702,0.016896477816675,0.00010716582124741,0.00914481674644567,0.0175037508037437,0.00975208973351432,0,0.138458241051654,0.0146102736300636,0.0020718725441166,0.0052868471815389,0.0108237479459884,0.00221476030577981,0.0242551975423305,0.00653711509609202,0.00010716582124741,0.0095020361506037,0.00596556404943917,0.00660855897692363
"LOS1-late pre-onset",0.0130206472815603,3.57219404158034e-05,5.35829106237051e-05,0.000125026791455312,0.0572086875759091,0.340983782239051,0,0.000625133957276559,0.000339358433950132,0.000357219404158034,0.00142887761663214,7.14438808316068e-05,7.14438808316068e-05,0,0,0.000125026791455312,0,0.00276845038222476,0.0605308280345788,0.00010716582124741,0.000303636493534329,0.00266128456097735,0.00010716582124741,1.78609702079017e-05,7.14438808316068e-05,0,0.000196470672286919,3.57219404158034e-05,0.000375080374365936,8.93048510395085e-05,0.000178609702079017,0.0475280417232264,0.000250053582910624,3.57219404158034e-05,0.000142887761663214,0.000768021718939773,3.57219404158034e-05,0.000410802314781739,0.000517968136029149,0.000696577838108166,1.78609702079017e-05,0.000125026791455312,0.000464385225405444,0.00010716582124741,0.448435379009788,0.000464385225405444,0.000178609702079017,0.00139315567621633,0.000339358433950132,1.78609702079017e-05,0.000321497463742231,0.000339358433950132,0.000428663284989641
"LOS1-early disease",0.000642994927484461,0,4.76292538758305e-05,0,0.331225738836894,0.0111214307815961,1.19073134600271e-05,2.38146269557762e-05,1.19073134600271e-05,2.38146269557762e-05,0.00010716582124741,4.76292538758305e-05,1.19073134600271e-05,0,0,0,0,0.00016670238861899,0.000321497463742231,0,2.38146269557762e-05,0.000142887761663214,0.000226238955954847,0,9.5258507787383e-05,2.38146269557762e-05,0.000381034031220976,0,0,0,0.000142887761663214,0.0623586006644281,0,2.38146269557762e-05,9.5258507787383e-05,2.38146269557762e-05,2.38146269557762e-05,0,5.95365673715796e-05,3.57219404158034e-05,0,0.000321497463742231,2.38146269557762e-05,2.38146269557762e-05,0.588149841751804,2.38146269557762e-05,0,5.95365673715796e-05,3.57219404158034e-05,5.95365673715796e-05,1.19073134600271e-05,0,1.19073134600271e-05
"LOS1-middle disease",0.000821604629563478,0,7.14438808316068e-05,3.57219404158034e-05,0.092305494034436,0.0295777666642852,0,0,7.14438808316068e-05,0.000142887761663214,7.14438808316068e-05,7.14438808316068e-05,0,0.00803743659355576,0.00835893405729799,3.57219404158034e-05,0,7.14438808316068e-05,0.00378652568407516,3.57219404158034e-05,7.14438808316068e-05,0.000321497463742231,7.14438808316068e-05,0,0.00010716582124741,3.57219404158034e-05,0.000750160748731871,0.35971993998714,0,0,0.00021433164249482,0.0400085732656998,3.57219404158034e-05,0,0.00021433164249482,7.14438808316068e-05,3.57219404158034e-05,3.57219404158034e-05,0,7.14438808316068e-05,0,0.000750160748731871,0.00010716582124741,0,0.444738158176752,0,0,7.14438808316068e-05,0.00010716582124741,3.57219404158034e-05,7.14438808316068e-05,3.57219404158034e-05,7.14438808316068e-05
"LOS1-late disease",0.000607272987068658,0,3.57219404158034e-05,0,0.0106451382439094,0.00989497749517754,0,0,3.57219404158034e-05,3.57219404158034e-05,0.00010716582124741,0.00010716582124741,0,3.57219404158034e-05,0.0247195827677359,0,0,0.00010716582124741,0.00150032149746374,0,0,0.00021433164249482,0.000250053582910624,0,3.57219404158034e-05,0,0.000250053582910624,0,0,0,3.57219404158034e-05,0.0881260270057869,0,0,7.14438808316068e-05,0,0,0,0,0,0,0.000321497463742231,0,0,0.861148817603772,0,0,3.57219404158034e-05,3.57219404158034e-05,0.000142887761663214,0,0,0
"LOS2-early post partum",0.164856755018933,0,0.0132528398942631,0.00489390583696506,0.000571551046652854,0.00257197970993784,0,0.0112881331713939,0.0113238551118097,0.00793027077230835,0.033435736229192,0.0108594698864042,0.00264342359076945,3.57219404158034e-05,3.57219404158034e-05,0.00146459955704794,0.000142887761663214,0.0344716725012503,0.000250053582910624,0.000893048510395085,0.0980567264413803,0.0490105022504822,0.000285775523326427,0.00682289061941845,0.014538829749232,0.0132528398942631,0.130170750875188,0.000464385225405444,0.00278631135243266,0.000857326569979281,0.0252196899335572,0.00260770165035365,0.00114310209330571,0.0083946559977138,0.025434021576052,0.0161820390083589,0.0238622561977567,0.00928770450810888,0.0127884546688576,0.0115381867543045,0.00157176537829535,0.121954704579553,0.0152889904979638,0.00153604343787955,0.0164678145316854,0.00100021433164249,0.00153604343787955,0.0203257840965921,0.00639422733442881,7.14438808316068e-05,0.0084303779381296,0.00467957419447024,0.00585839822819176
"LOS2-early pre-onset",0.20454383082089,0.00010716582124741,0.0110380795884832,0.00600128598985497,7.14438808316068e-05,0.00200042866328499,0.00010716582124741,0.012538401085947,0.0125026791455312,0.00871615346145603,0.0138958348217475,0.0133242837750947,0.00117882403372151,0.000357219404158034,0,0.00164320925912696,0.000714438808316068,0.0453311423876545,0.000250053582910624,0.00132171179538473,0.0110023576480674,0.0625491176680717,0.00021433164249482,0.00725155390440809,0.0146817175108952,0.01089519182682,0.138315353289991,0.00539401300278631,0.00460813031363864,0.000785882689147674,0.0259698506822891,0.00267914553118525,0.00153604343787955,0.0143244981067372,0.0307208687575909,0.0181110237908123,0.000785882689147674,0.00993069943559334,0.00485818389654926,0.0113238551118097,0.00232192612702722,0.135386154175895,0.0164320925912696,0.00189326284203758,0.0178609702079017,0.0095377580910195,0.00242909194827463,0.0242909194827463,0.00571551046652854,7.14438808316068e-05,0.0117525183967993,0.00671572479817104,0.00610845181110238
"LOS2-late pre-onset",0.000142887761663214,0,0,0,0,3.57219404158034e-05,0.00010716582124741,0,0,0,0,0,0,0.00021433164249482,0,0,0,0,0,0,0,3.57219404158034e-05,0.000178609702079017,0,0,0,3.57219404158034e-05,0.0084660998785454,0,0,0,0.0934485961277417,0,0,3.57219404158034e-05,0,0,0,0,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0.897156533542902,0,0,0,0,0,0,3.57219404158034e-05,3.57219404158034e-05
"LOS2-early disease",0.00396513538615418,0.000607272987068658,0.000250053582910624,7.14438808316068e-05,0.00285775523326427,0,0.000202424329034793,0.000178609702079017,0.000130980448203186,0.000250053582910624,0.000809697316210617,0.000261960896370651,3.57219404158034e-05,0.00133361910873759,1.19073134600271e-05,2.38146269557762e-05,0.00136934104915339,0.00127408254161606,0,9.5258507787383e-05,0.000250053582910624,0.00125026791455312,0.000309590150282203,0.000250053582910624,0.000321497463742231,0.000285775523326427,0.00294110642744874,0.000702531494963206,0.00016670238861899,0,0.000559643733299993,0.0957943368936201,5.95365673715796e-05,0.00322688195077517,0.000642994927484461,0.000321497463742231,2.38146269557762e-05,0.000178609702079017,0.000381034031220976,0.00016670238861899,0.000345312090698007,0.00298873568157462,0.000238146269450597,3.57219404158034e-05,0.871424829249125,4.76292538758305e-05,2.38146269557762e-05,0.000595365673715796,7.14438808316068e-05,0.000130980448203186,0.00021433164249482,4.76292538758305e-05,0.000142887761663214
