Sample\Estimators,sobs,shannon,simpson,ace,chao,coverage
B2407,187,2.952593,0.10881,227.70413,215.7,0.9985
B1901,191,3.19505,0.078509,211.618643,206.615385,0.998964
A6613,54,1.633222,0.256391,140.325291,77.75,0.999286
B2442,44,1.380226,0.416206,51.993373,51.2,0.999679
B1904,196,3.224177,0.078715,216.154776,221.833333,0.998893
B3603,201,2.939926,0.145652,230.894542,231.565217,0.998643
B1604,171,2.162857,0.207188,215.249237,209.076923,0.998393
B3813,40,0.537372,0.718096,57.312892,49.166667,0.999607
B4007,55,1.238658,0.38299,138.794078,85.666667,0.999143
A0102,124,0.807178,0.751341,156.895872,151.789474,0.998821
B4028,29,1.444102,0.309928,48.051817,39.5,0.99975
A1301,181,3.049513,0.113745,199.168233,199.9,0.999
B2421,45,0.618516,0.622041,148.682619,75.666667,0.999143
A1307,57,0.347442,0.879867,159.311477,100.875,0.999036
B1910,28,0.776471,0.582506,39.002716,39.25,0.999643
B3624,65,0.510146,0.821565,91.639095,90.3,0.999178
B3849,48,1.49135,0.354919,59.887589,54.875,0.999607
B1401,183,3.205468,0.073886,206.518629,202.84,0.998857
B1424,48,0.147068,0.961492,106.92468,71.75,0.999286
A0107,94,0.621595,0.759542,126.356482,115.75,0.998928
B0425,102,0.764579,0.694163,205.6623,148.866667,0.998643
B1615,57,1.352696,0.447406,123.677968,81.428571,0.999321
B3014,41,1.213234,0.458504,54.2462,50.166667,0.999607
A0113,190,2.87642,0.136247,205.61391,204.285714,0.999107
B1603,125,0.918453,0.621034,174.980625,191.230769,0.9985
B3010,48,1.22545,0.44597,102.077326,72.428571,0.999321
A6820,30,1.072618,0.417021,44.552436,34.666667,0.999714
B4403,209,3.163161,0.110339,226.595675,228.894737,0.999
B1508,27,0.46359,0.779777,82.812,49.75,0.9995
B0442,60,0.992344,0.434863,78.021445,79,0.999321
B0457,47,1.684499,0.269097,57.805544,54.5,0.999643
B0818,16,0.33567,0.829782,26.008488,26.5,0.99975
B0726,30,1.108583,0.518335,37.326073,34.666667,0.999714
B4428,64,1.365637,0.330664,88.171573,85,0.999214
B0521,81,0.507628,0.80467,111.854185,108.083333,0.999071
B0721,30,1.045743,0.477315,91.962963,43,0.999536
B1801,177,3.171081,0.078088,196.396931,194.181818,0.999
B0714,18,0.738993,0.646023,25.92,21.75,0.999786
B1435,69,1.379711,0.338328,98.384908,82.8,0.999143
B1821,72,0.652587,0.72691,181.473515,157,0.99875
B0411,19,0.575204,0.718882,24.869565,34,0.999786
B4303,205,3.195164,0.083954,223.581916,229.8,0.998857
B3604,208,3.051902,0.12612,234.277756,237.75,0.99875
B0108,65,0.923024,0.596149,130.621559,101.111111,0.999071
B3701,202,2.840189,0.159755,229.775145,224.2,0.998678
B1804,203,3.1477,0.090713,232.301047,233.272727,0.998678
B3007,82,1.556846,0.2855,159.229462,164.666667,0.998857
B0415,90,0.344684,0.907074,155.398579,123.214286,0.998893
A6620,49,1.869977,0.194491,93.032569,64,0.999464
B1521,70,1.690882,0.303009,86.244513,83.909091,0.999357
B0622,57,0.140597,0.964635,105.339096,76.25,0.999214
B3703,197,3.015398,0.134601,213.437894,210,0.999071
B0461,41,1.274716,0.438578,44.3648,46,0.999786
A6601,163,1.913226,0.363379,211.550801,197.44,0.9985
B3017,38,1.151673,0.493616,41.434011,40,0.999821
B3717,50,0.64358,0.722705,71.280267,75.5,0.999357
B0450,69,1.557004,0.388366,108.013655,83.25,0.999321
B3804,182,3.125073,0.086763,198.565308,201.894737,0.999
B2403,55,0.533213,0.71919,107.442097,92.5,0.999107
B1415,126,1.272936,0.491361,143.698493,139.8,0.999143
A6608,72,0.868205,0.577947,145.44312,101.076923,0.999
B0528,49,0.859556,0.54818,94.026659,76.142857,0.999286
A6801,187,2.778276,0.138793,211.774371,211,0.998821
B3724,85,1.340811,0.409583,124.699862,120.769231,0.998893
B2414,20,0.512381,0.787898,42.978374,41,0.99975
B1813,109,0.841755,0.690499,142.307355,138.176471,0.998857
B1929,31,0.528007,0.761953,60.124479,44.2,0.999571
B1504,191,2.216566,0.315354,234.06781,238.142857,0.998393
B0402,191,3.151721,0.108972,206.371491,204.636364,0.999107
B3802,193,3.142038,0.080324,225.136752,217.666667,0.998678
B0421,55,0.190431,0.942162,82.342605,72.769231,0.999214
B3618,48,1.402553,0.373141,99.636982,78,0.999428
B0423,81,0.420585,0.873595,129.979384,124.875,0.999036
B0431,36,1.238802,0.386759,46.704884,45,0.999643
B0408,28,0.467931,0.786398,40.244856,41.75,0.999607
B0430,44,1.017124,0.458404,76.459872,65,0.999464
B2438,40,1.489713,0.291351,169.726307,64,0.999428
B1841,59,1.273032,0.442053,76.980829,78.125,0.999357
B2418,25,0.496096,0.803372,55.695529,40,0.999643
B4404,147,1.103415,0.628019,201.948155,213.352941,0.998285
B3714,41,0.942079,0.516274,122.212185,88.5,0.999286
B2410,65,0.786438,0.693368,79.857095,75.909091,0.999428
B0817,33,0.435145,0.794729,60.401885,42.75,0.999536
