Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,A0102,A0107,A0113,A0121,A1301,A1307,A1314,A1316,A6601,A6608,A6613,A6620,A6801,A6805,A6812,A6820,B0102,B0108,B0114,B0121,B0402,B0408,B0410,B0411,B0413,B0415,B0420,B0421,B0423,B0425,B0428,B0430,B0431,B0436,B0442,B0450,B0457,B0461,B0501,B0508,B0514,B0521,B0528,B0603,B0604,B0605,B0607,B0610,B0614,B0619,B0622,B0701,B0706,B0714,B0721,B0726,B0801,B0809,B0815,B0817,B0818,B0821,B0826,B1401,B1403,B1404,B1415,B1421,B1422,B1424,B1428,B1435,B1442,B1445,B1450,B1456,B1463,B1501,B1504,B1508,B1515,B1521,B1601,B1603,B1604,B1607,B1615,B1621,B1801,B1804,B1807,B1810,B1811,B1813,B1817,B1821,B1828,B1834,B1841,B1849,B1853,B1859,B1866,B1869,B1901,B1902,B1904,B1907,B1910,B1914,B1921,B1925,B1929,B2401,B2403,B2404,B2407,B2410,B2414,B2418,B2421,B2424,B2428,B2434,B2438,B2442,B3001,B3002,B3004,B3007,B3010,B3014,B3017,B3021,B3027,B3601,B3603,B3604,B3607,B3610,B3614,B3618,B3621,B3624,B3628,B3701,B3703,B3704,B3707,B3710,B3714,B3717,B3721,B3724,B3728,B3802,B3804,B3807,B3810,B3813,B3815,B3821,B3828,B3835,B3839,B3842,B3849,B4002,B4004,B4007,B4014,B4021,B4028,B4101,B4102,B4105,B4107,B4113,B4121,B4303,B4304,B4307,B4314,B4321,B4403,B4404,B4407,B4414,B4417,B4421,B4428,B4429,B0620,B4025,B3818,SUM
d__Bacteria,k__norank,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__norank_f__Aerococcaceae,s__uncultured_bacterium_g__norank_f__Aerococcaceae,OTU54,0,0,5,0,1,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,1,0,0,0,0,1,1,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,1,3,3,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,93
d__Bacteria,k__norank,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,g__Martelella,s__Martelella_mediterranea,OTU295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1196
d__Bacteria,k__norank,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptoclostridium,s__unclassified_g__Peptoclostridium,OTU865,0,0,2,0,0,0,0,1,1,0,2,2,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,18,22,1,0,41,0,0,0,2,0,0,0,1,0,0,0,8,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,10,0,1,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,10,2,1,1,0,1,2,1,7,1,0,2,1,3,4,0,12,3,0,0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,0,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,234
d__Bacteria,k__norank,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,g__Methylobacillus,s__unclassified_g__Methylobacillus,OTU42,1,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
d__Bacteria,k__norank,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__Sphingobacterium_faecium,OTU31,4,1,16,0,25,0,0,0,13,0,1,0,26,0,0,0,40,0,1,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,45,19,28,0,1,3,6,4,1,5,0,0,0,29,30,0,0,0,37,3,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,11,7,7,11,0,0,0,0,0,7,13,10,8,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,5,1,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,518
d__Bacteria,k__norank,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Serratia,s__unclassified_g__Serratia,OTU317,20,3,78,0,125,1,0,0,39,0,0,0,106,0,0,3,134,1,0,1,129,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,118,95,52,3,0,26,30,34,33,51,1,2,0,98,178,0,1,0,105,31,0,0,0,0,0,20,12,22,3,0,0,0,1,0,0,0,0,0,0,36,7,0,0,0,0,3,10,1,0,0,73,71,0,0,0,1,2,0,0,0,0,0,0,1,1,0,55,29,39,1,0,0,0,1,0,55,2,0,37,0,0,0,0,0,0,0,0,0,54,50,25,0,0,0,0,0,0,42,29,37,45,0,0,0,0,1,50,54,35,41,0,0,0,0,1,1,0,16,30,0,1,0,0,1,0,0,0,1,0,69,0,0,0,0,0,94,54,64,176,0,0,67,56,2,0,0,85,5,0,0,0,1,0,0,1,0,0.5,3174
d__Bacteria,k__norank,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas,s__unclassified_g__Polaromonas,OTU24,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,41
d__Bacteria,k__norank,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_piscium,OTU190,0,0,3,0,1,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,0,3,2,1,1,1,0,0,0,2,7,0,0,0,11,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,2,0,0,4,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,119
d__Bacteria,k__norank,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Myroides,s__uncultured_bacterium_g__Myroides,OTU1094,1,1,8,0,5,0,0,0,4,0,0,0,4,0,0,0,9,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,6,11,3,0,1,6,6,4,0,0,0,0,5,12,0,0,0,12,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2,5,4,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,2,3,0,0,7,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,226
d__Bacteria,k__norank,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_antarcticus,OTU18,1,1,3,0,5,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1,1,0,0,2,1,0,7,0,0,0,3,9,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88
