"","sample","time","OTU54","OTU295","OTU865","OTU42","OTU31","OTU317","OTU24","OTU190","OTU1094","OTU18","OTU357","OTU57","OTU790","OTU979","OTU30","OTU138","OTU850","OTU72","OTU435","OTU211","OTU738","OTU142","OTU256","OTU458","OTU236","OTU315","OTU354","OTU736","OTU1073","OTU128","OTU1242","OTU53","OTU322","OTU785","OTU302","OTU25","OTU721","OTU129","OTU374","OTU914","OTU861","OTU516","OTU281","OTU1243","OTU508","OTU1002","OTU1026","OTU703","OTU527","OTU1111","OTU1075","OTU690","OTU807","OTU64","OTU1117","OTU744","OTU46","OTU32","OTU655","OTU537","OTU159","OTU729","OTU149","OTU384","OTU382","OTU875","OTU38","OTU1028","OTU777","OTU59","OTU695","OTU309","OTU766","OTU521","OTU398","OTU488","OTU373","OTU932","OTU245","OTU418","OTU1","OTU234","OTU745","OTU708","OTU871","OTU395","OTU730","OTU1088","OTU68","OTU85","OTU764","OTU381","OTU80","OTU76","OTU830","OTU1101","OTU33","OTU523","OTU1015","OTU48","OTU1225","OTU706","OTU825","OTU184","OTU50","OTU19","OTU1041","OTU827","OTU751","OTU420","OTU495","OTU525","OTU772","OTU771","OTU487","OTU1014","OTU204","OTU449","OTU446","OTU630","OTU1235","OTU718","OTU1069","OTU870","OTU288","OTU444","OTU84","OTU821","OTU396","OTU75","OTU329","OTU346","OTU978","OTU714","OTU590","OTU108","OTU868","OTU45","OTU325","OTU415","OTU1234","OTU765","OTU720","OTU945","OTU51","OTU1105","OTU734","OTU270","OTU136","OTU705","OTU36","OTU463","OTU750","OTU728","OTU379","OTU731","OTU833","OTU78","OTU228","OTU616","OTU404","OTU803","OTU801","OTU112","OTU246","OTU47","OTU401","OTU724","OTU878","OTU1184","OTU691","OTU1110","OTU836","OTU1078","OTU529","OTU343","OTU1113","OTU798","OTU1232","OTU260","OTU65","OTU41","OTU710","OTU1074","OTU146","OTU21","OTU333","OTU685","OTU4","OTU709","OTU352","OTU873","OTU908","OTU788","OTU297","OTU1077","OTU815","OTU532","OTU6","OTU450","OTU524","OTU125","OTU1021","OTU63","OTU1229","OTU390","OTU610","OTU1100","OTU67","OTU319","OTU274","OTU802","OTU752","OTU837","OTU225","OTU505","OTU436","OTU437","OTU864","OTU717","OTU862","OTU533","OTU389","OTU689","OTU789","OTU156","OTU832","OTU753","OTU209","OTU740","OTU711","OTU79","OTU1239","OTU202","OTU383","OTU743","OTU86","OTU704","OTU732","OTU1237","OTU956","OTU5","OTU1139","OTU692","OTU1135","OTU723","OTU151","OTU522","OTU768","OTU770","OTU1192","OTU338","OTU1207","OTU3","OTU867","OTU885","OTU819","OTU55","OTU122","OTU447","OTU716","OTU1233","OTU698","OTU34","OTU1082","OTU534","OTU769","OTU387","OTU89","OTU889","OTU767","OTU905","OTU263","OTU261","OTU1018","OTU426","OTU29","OTU786","OTU82","OTU386","OTU376","OTU943","OTU179","OTU7","OTU312","OTU481","OTU737","OTU20","OTU320","OTU774","OTU626","OTU434","OTU605","OTU456","OTU863","OTU893","OTU70","OTU1236","OTU1090","OTU952","OTU69","OTU37","OTU999","OTU872","OTU810","OTU496","OTU1104","OTU707","OTU1001","OTU1031","OTU795","OTU466","OTU866","OTU427","OTU279","OTU469","OTU792","OTU49","OTU712","OTU1093","OTU460","OTU272","OTU874","OTU375","OTU345","OTU869","OTU797","OTU509"
"1","A0102","control9-early post partum",0,0,0,1,4,20,0,0,1,1,0,8,0,3,1051,0,0,0,0,2,0,0,3,0,0,2,0,0,0,17,0,1,11,0,0,4,0,0,0,2,5,0,2,0,0,0,237,0,2,0,0,0,0,0,0,0,114,1,0,0,0,25,5,16,0,0,3,4,3,2,0,1,0,0,0,0,3,0,1,0,10,12,0,1,0,0,0,4,0,2,0,2,0,0,1,0,2,0,0,24234,0,0,0,0,0,0,22,0,0,0,0,20,0,0,0,0,1,0,0,0,16,2,90,19,4,0,35,3,0,1,0,0,0,4,0,0,0,0,150,0,0,0,0,0,3,10,1,0,0,0,4,0,3,0,0,0,2,32,11,6,0,3,0,1,0,1,1,33,5,0,0,0,0,0,2,1,15,0,0,4,0,0,0,0,0,3,8,0,1,0,0,0,0,0,1,0,0,2,0,5,2,22,27,5,0,0,0,0,0,12,2,8,0,0,1,0,0,0,0,0,1,42,1,0,2,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,1,42,0,1,7,1,0,0,0,276,0,0,0,13,0,142,0,0,0,35,1,0,6,0,14,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,90,0,20,0,0,2,186,0,124,0,0,71,10,0,1,1,0,0,0,0,2,1,0,0,3,0
"2","A0107","control9-early pre-onset",0,0,0,0,1,3,0,0,1,1,0,1,0,0,277,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,2152,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24292,0,0,0,0,0,0,3,1,1,0,1,7,0,0,28,2,0,2,0,1,3,1,24,5,2,638,9,2,0,0,0,1,0,3,0,0,0,0,30,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,1,0,0,0,0,0,39,0,8,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,5,2,0,0,0,0,0,2,1,5,0,0,0,4,0,1,0,0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,12,0,1,2,0,0,0,0,59,0,0,0,2,0,21,0,0,0,6,0,0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,23,2,1,0,0,0,17,0,21,0,0,14,0,0,2,3,0,0,10,0,0,1,0,0,0,0
"3","A0113","control9-late pre-onset",5,0,2,0,16,78,0,3,8,3,0,60,0,8,6318,2,0,0,0,13,1,0,6,0,0,10,0,0,1,99,0,1,47,0,0,7633,0,0,13,6,25,0,1,10,4,0,856,0,2,3,2,0,0,0,6,0,469,7,1,0,1,141,13,80,4,4,5,45,13,18,0,8,0,0,7,0,10,4,3,0,56,43,2,4,0,0,0,8,0,37,0,10,4,5,2,0,1,0,0,13,0,0,0,0,0,8,120,2,4,3,0,114,4,1,0,10,5,0,0,14,48,110,809,67,46,10,148,15,0,2,0,1,0,103,3,5,0,5,941,0,0,0,0,0,4,46,2,0,0,0,52,1,20,1,2,0,1,139,61,60,0,14,2,5,0,1,8,37,2,68,0,0,0,3,0,0,65,0,1,11,0,7,1,0,0,26,20,1,0,0,0,0,6,0,6,6,0,4,0,13,12,188,101,32,0,1,7,0,0,27,23,81,0,0,18,0,0,0,0,0,27,172,0,0,725,0,0,0,2,0,0,10,1,0,2,3,1370,1,2,0,0,1,0,4,2,0,0,0,0,0,35,2,0,33,15,176,48,3,32,4,2,0,3,1143,0,0,0,65,0,507,1,0,0,129,7,0,871,1,42,17,1,0,0,6,1,8,0,4,0,0,0,22,16,0,0,1,0,0,10,0,0,382,441,17,85,0,6,19,583,0,528,0,0,316,14,0,5,0,0,0,0,0,2,20,0,2,3,0
"4","A0121","control9-early disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,916,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,25087,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"5","A1301","control14-early post partum",1,0,0,2,25,125,6,1,5,5,0,95,0,18,8241,1,0,1,0,9,0,0,12,0,1,9,0,2,8,182,0,2,53,0,0,4,0,0,16,3,1,0,8,2,0,0,1126,0,4,0,4,0,0,0,7,0,700,4,2,0,8,259,29,152,1,0,10,141,13,26,0,3,0,0,3,0,3,7,7,0,61,31,0,1,1,0,0,13,0,51,0,10,5,1,3,0,7,0,0,7,0,0,0,0,0,0,193,2,4,0,0,146,4,1,0,78,12,0,0,0,69,2,2453,117,62,0,222,20,1,0,0,3,1,58,7,2,0,8,1346,0,0,0,1,0,8,61,3,1,0,0,19,0,33,0,1,0,2,129,91,5,0,12,11,1,0,7,6,15,10,0,0,2,0,10,1,0,60,0,0,40,0,4,1,0,0,31,33,0,0,0,0,0,10,0,7,5,1,1,0,23,12,316,191,33,2,0,0,0,0,51,126,119,8,0,29,0,0,0,0,0,7,235,0,1,51,0,0,0,2,0,0,7,2,1,0,8,2110,0,0,0,0,6,0,2,2,0,0,0,0,0,0,1,0,49,24,384,0,5,34,3,2,0,2,1562,3,0,0,96,2,1096,0,0,0,227,8,0,221,10,75,32,5,0,0,2,5,0,0,8,0,0,1,0,0,1,0,1,0,0,6,1,0,550,684,22,156,0,0,10,935,0,787,0,0,649,7,0,8,0,0,0,0,0,0,5,0,0,0,0
"6","A1307","control14-early pre-onset",0,0,0,0,0,1,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,513,0,0,0,0,4,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,1,0,0,8,628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,2,0,0,1,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,19,0,0,0,1,0,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,16,0,9,0,0,2,2,0,0,4,0,0,0,0,1,0,0,0,0,0
"7","A1314","control14-late pre-onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,1,0,0,781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,289,1,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,166,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,1,1,0,13154,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,12789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","A1316","control14-early disease",0,0,1,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,57,0,0,1,0,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,6,0,0,0,0,20,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917,1,0,0,0,1,0,0,0,0,0,0,268,0,0,0,0,5,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,2,6,20359,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,8,1,0,1,0,0,2,1,0,0,18,0,0,0,0,0,0,0,0,0,0
"9","A6601","control10-early post partum",1,0,1,2,13,39,1,2,4,2,0,35,0,8,4021,0,0,0,0,11,0,0,3,0,1,4,0,0,3,100,0,0,24,0,0,1,0,1,4,3,1,0,0,0,0,2,459,0,1,0,1,0,0,0,2,0,288,2,0,1,1,103,11,44,0,0,2,98,8,10,0,2,0,0,2,0,1,0,0,0,16,11,0,0,1,0,0,8,0,16,0,11,3,2,3,1,1,0,0,372,0,0,1,3,1,0,78,0,3,0,0,79,3,1,0,6,3,0,0,0,32,3,420,43,33,0,76,7,1,1,0,0,0,28,1,1,0,3,521,0,1,0,0,0,3,29,1,0,0,0,11,0,8,0,1,0,1,32,34,1,0,6,2,2,0,2,5,16301,1,0,0,1,0,1,0,0,26,1,0,12,0,2,0,0,0,9,12,0,0,0,0,0,0,1,2,0,0,0,0,8,1,119,68,15,1,0,0,0,0,25,36,53,3,0,8,0,0,0,0,0,1,106,0,0,50,0,0,0,2,0,0,0,0,0,1,3,903,0,0,0,0,4,2,0,0,1,0,0,0,0,0,1,0,16,11,125,0,2,12,0,2,0,1,722,3,0,0,21,0,290,2,0,0,66,2,0,49,1,21,12,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,224,300,8,65,0,0,4,383,0,331,0,0,258,11,0,6,0,0,0,0,0,0,1,0,0,2,0
"10","A6608","control10-early pre-onset",0,0,0,0,0,0,0,0,0,0,0,2,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5884,0,0,0,0,52,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,6,0,0,245,351,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,8,1,0,20,4,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20441,0,4,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,50,0,0,0,0,0,0,2,0,0,1,1,8,12,0,0,0,0,0,0,21,0,9,0,2,0,9,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,3,0,2,0,1,0,6,0,6,0,0,10,1,0,0,102,0,0,0,0,1,0,0,0,0,0
